date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-01-25,RELIANCE,1246.0,1264.699951,1235.400024,1250.449951,8550836.0,1234.566772,0,0,0,8550836.0,0,0
2019-01-28,RELIANCE,1229.550049,1255.949951,1222.400024,1250.5,8569265.0,1218.2677,0,0,0,8569265.0,0,0
2019-01-29,RELIANCE,1210.650024,1231.650024,1201.349976,1231.0,9328866.0,1199.541138,0,0,0,9328866.0,0,0
2019-01-30,RELIANCE,1195.699951,1225.0,1191.099976,1215.0,7846940.0,1184.728149,0,0,0,7846940.0,0,0
2019-01-31,RELIANCE,1227.150024,1229.699951,1201.0,1202.0,10185347.0,1215.889771,0,0,0,10185347.0,0,0
2019-02-01,RELIANCE,1249.949951,1255.0,1227.050049,1234.0,9228965.0,1238.480469,0,0,0,9228965.0,0,0
2019-02-04,RELIANCE,1290.900024,1296.949951,1242.050049,1247.0,11670570.0,1279.054688,0,0,0,11670570.0,0,0
2019-02-05,RELIANCE,1291.550049,1304.400024,1278.599976,1292.0,9362406.0,1279.69873,0,0,0,9362406.0,0,0
2019-02-06,RELIANCE,1310.25,1317.650024,1294.25,1296.25,9411585.0,1298.227173,0,0,0,9411585.0,0,0
2019-02-07,RELIANCE,1290.400024,1321.199951,1286.099976,1310.25,9212227.0,1278.559326,0,0,0,9212227.0,0,0
2019-02-08,RELIANCE,1277.699951,1300.5,1272.25,1284.800049,6505502.0,1265.975708,0,0,0,6505502.0,0,0
2019-02-11,RELIANCE,1253.25,1276.0,1251.0,1275.900024,7523999.0,1241.750244,0,0,0,7523999.0,0,0
2019-02-12,RELIANCE,1256.400024,1272.349976,1251.5,1251.5,6399485.0,1244.871338,0,0,0,6399485.0,0,0
2019-02-14,RELIANCE,1224.199951,1241.0,1218.0,1241.0,6627360.0,1212.966675,0,0,0,6627360.0,0,0
2019-02-15,RELIANCE,1244.449951,1249.900024,1214.0,1229.75,9597961.0,1233.030884,0,0,0,9597961.0,0,0
2019-02-18,RELIANCE,1220.099976,1252.5,1215.0,1250.0,9649017.0,1208.904419,0,0,0,9649017.0,0,0
2019-02-19,RELIANCE,1216.099976,1239.699951,1211.199951,1218.0,6244189.0,1204.94104,0,0,0,6244189.0,0,0
2019-02-20,RELIANCE,1234.349976,1240.0,1219.0,1223.849976,6298179.0,1223.02356,0,0,0,6298179.0,0,0
2019-02-21,RELIANCE,1246.900024,1257.800049,1229.349976,1236.0,10580178.0,1235.458496,0,0,0,10580178.0,0,0
2019-02-22,RELIANCE,1232.349976,1245.300049,1226.0,1244.599976,8755865.0,1221.04187,0,0,0,8755865.0,0,0
2019-02-25,RELIANCE,1232.300049,1243.0,1220.650024,1236.0,7852528.0,1220.992554,0,0,0,7852528.0,0,0
2019-02-26,RELIANCE,1220.25,1234.800049,1206.0,1209.5,10131050.0,1209.052979,0,0,0,10131050.0,0,0
2019-02-27,RELIANCE,1223.5,1244.900024,1209.0,1228.050049,11113182.0,1212.273071,0,0,0,11113182.0,0,0
2019-02-28,RELIANCE,1231.050049,1239.849976,1226.550049,1233.75,11286916.0,1219.753906,0,0,0,11286916.0,0,0
2019-03-01,RELIANCE,1226.050049,1242.349976,1222.25,1237.0,7922513.0,1214.799805,0,0,0,7922513.0,0,0
2019-03-05,RELIANCE,1237.650024,1239.800049,1218.599976,1223.400024,7121509.0,1226.293335,0,0,0,7121509.0,0,0
2019-03-06,RELIANCE,1264.800049,1273.099976,1235.099976,1239.800049,12038231.0,1253.194336,0,0,0,12038231.0,0,0
2019-03-07,RELIANCE,1270.25,1279.800049,1258.150024,1264.0,8109259.0,1258.594238,0,0,0,8109259.0,0,0
2019-03-08,RELIANCE,1267.099976,1274.449951,1262.0,1266.050049,6040052.0,1255.473022,0,0,0,6040052.0,0,0
2019-03-11,RELIANCE,1304.099976,1312.0,1268.0,1270.050049,9718840.0,1292.133545,0,0,0,9718840.0,0,0
2019-03-12,RELIANCE,1331.349976,1334.0,1314.25,1316.900024,11228736.0,1319.133423,0,0,0,11228736.0,0,0
2019-03-13,RELIANCE,1347.300049,1360.0,1328.099976,1337.0,11236048.0,1334.937256,0,0,0,11236048.0,0,0
2019-03-14,RELIANCE,1341.550049,1362.0,1336.099976,1349.75,10402048.0,1329.23999,0,0,0,10402048.0,0,0
2019-03-15,RELIANCE,1321.650024,1358.800049,1311.199951,1345.0,15893093.0,1309.522583,0,0,0,15893093.0,0,0
2019-03-18,RELIANCE,1350.050049,1357.949951,1329.0,1331.0,10105234.0,1337.661987,0,0,0,10105234.0,0,0
2019-03-19,RELIANCE,1376.550049,1380.0,1343.099976,1360.0,9805318.0,1363.918823,0,0,0,9805318.0,0,0
2019-03-20,RELIANCE,1375.449951,1388.0,1364.0,1377.800049,9892823.0,1362.828857,0,0,0,9892823.0,0,0
2019-03-22,RELIANCE,1341.75,1380.900024,1336.699951,1372.5,11465112.0,1329.43811,0,0,0,11465112.0,0,0
2019-03-25,RELIANCE,1324.449951,1336.849976,1316.699951,1330.599976,7951992.0,1312.296875,0,0,0,7951992.0,0,0
2019-03-26,RELIANCE,1367.25,1371.599976,1330.0,1330.300049,9479288.0,1354.704102,0,0,0,9479288.0,0,0
2019-03-27,RELIANCE,1349.25,1377.949951,1344.25,1377.949951,10094174.0,1336.869263,0,0,0,10094174.0,0,0
2019-03-28,RELIANCE,1360.0,1369.800049,1342.800049,1350.25,10482938.0,1347.52063,0,0,0,10482938.0,0,0
2019-04-01,RELIANCE,1391.849976,1406.800049,1362.550049,1370.0,10098281.0,1379.078369,0,0,0,10098281.0,0,0
2019-04-02,RELIANCE,1389.699951,1403.099976,1380.099976,1398.0,8012636.0,1376.947998,0,0,0,8012636.0,0,0
2019-04-03,RELIANCE,1375.199951,1403.0,1372.0,1392.75,7849461.0,1362.581177,0,0,0,7849461.0,0,0
2019-04-04,RELIANCE,1353.050049,1383.699951,1347.25,1379.0,8375674.0,1340.634399,0,0,0,8375674.0,0,0
2019-04-05,RELIANCE,1353.900024,1363.900024,1343.0,1360.949951,6728239.0,1341.476563,0,0,0,6728239.0,0,0
2019-04-08,RELIANCE,1329.25,1357.5,1323.699951,1356.0,8723577.0,1317.052856,0,0,0,8723577.0,0,0
2019-04-09,RELIANCE,1334.449951,1340.699951,1321.0,1328.900024,9497621.0,1322.204956,0,0,0,9497621.0,0,0
2019-04-10,RELIANCE,1331.400024,1348.0,1326.5,1337.949951,7612711.0,1319.183105,0,0,0,7612711.0,0,0
2019-04-11,RELIANCE,1346.800049,1353.0,1329.0,1332.949951,5741333.0,1334.441772,0,0,0,5741333.0,0,0
2019-04-12,RELIANCE,1343.099976,1356.900024,1336.650024,1350.0,5919742.0,1330.775635,0,0,0,5919742.0,0,0
